,gender,age,year,eyecolor,height,miles,brothers,sisters,computertime,exercise,exercisehours,musiccds,playgames,watchtv
330,male,20,second,blue,71.0,115.0,3,2,10.0,No,0.0,25.0,10.0,5.0
1877,female,22,fourth,blue,67.0,120.0,0,2,4.0,Yes,2.0,80.0,0.0,4.0
314,female,22,fourth,blue,60.0,0.0,2,2,10.0,Yes,5.0,20.0,0.0,0.0
2001,female,18,first,hazel,67.0,90.0,2,1,10.0,Yes,3.0,26.0,0.0,12.0
1967,male,25,second,blue,71.0,0.0,1,1,8.0,Yes,4.0,50.0,0.0,4.0
355,female,19,second,hazel,64.0,370.0,2,1,20.0,No,0.0,100.0,0.0,2.0
1095,male,21,third,blue,72.0,80.0,1,1,10.0,Yes,10.0,200.0,12.0,6.0
1747,male,20,second,blue,73.0,112.0,1,1,2.0,No,0.0,15.0,3.0,49.0
1059,female,23,first,blue,65.0,46.0,0,2,10.0,Yes,5.0,6.0,0.0,12.0
1148,male,18,first,hazel,70.0,195.0,4,0,15.0,Yes,7.0,10.0,4.0,3.0
2014,female,19,first,green,64.0,94.0,0,0,25.0,Yes,10.0,200.0,16.0,8.0
132,male,23,other,brown,68.0,293.0,3,1,2.0,Yes,15.0,150.0,21.0,14.0
1674,male,20,third,brown,69.0,20.0,1,0,11.0,No,0.0,30.0,1.0,6.0
955,female,21,fourth,brown,64.0,23.0,1,2,20.0,Yes,6.0,40.0,5.0,5.0
64,male,18,first,blue,72.0,75.0,0,2,3.0,Yes,2.0,15.0,0.0,4.0
487,male,24,third,blue,69.0,45.0,3,2,20.0,Yes,20.0,45.0,0.0,2.0
1848,female,20,second,blue,63.0,50.0,0,1,15.0,No,0.0,100.0,0.0,10.0
1118,female,22,fourth,brown,63.0,160.0,3,3,5.0,Yes,5.0,30.0,0.0,12.0
1332,male,19,first,brown,70.0,175.0,0,1,40.0,No,0.0,10.0,0.0,1.0
1132,male,21,third,blue,79.0,193.0,0,1,10.0,Yes,6.0,400.0,0.0,60.0
851,male,20,second,brown,70.0,50.0,1,0,1.0,No,0.0,25.0,5.0,10.0
1746,male,22,third,brown,74.0,200.0,1,2,10.0,No,0.0,30.0,1.0,7.0
2046,female,20,third,green,65.0,20.0,0,1,10.0,No,0.0,30.0,0.0,15.0
1280,female,22,fourth,green,65.0,0.0,1,0,2.0,Yes,4.0,300.0,0.0,14.0
179,female,19,first,brown,67.0,300.0,1,1,12.0,Yes,3.0,20.0,1.0,1.0
278,male,21,fourth,green,72.0,120.0,0,2,20.0,No,0.0,6.0,1.0,20.0
512,male,20,third,brown,69.0,370.0,0,2,10.0,No,0.0,120.0,1.0,5.0
1797,female,20,third,blue,69.0,217.0,5,0,15.0,Yes,5.0,20.0,0.0,20.0
1525,female,22,other,brown,68.0,500.0,0,1,30.0,Yes,8.0,100.0,0.0,10.0
1234,male,20,third,brown,70.0,75.0,1,1,10.0,No,0.0,40.0,2.0,15.0
1936,female,25,third,hazel,67.0,33.0,0,0,14.0,Yes,4.0,50.0,0.0,3.0
288,male,21,third,brown,72.0,180.0,0,2,10.0,Yes,5.0,130.0,20.0,20.0
1744,female,19,second,blue,64.0,200.0,2,1,10.0,No,0.0,50.0,1.0,8.0
1230,female,19,second,hazel,64.0,250.0,0,0,12.0,Yes,7.0,75.0,3.0,7.0
1641,female,19,second,hazel,67.0,10.0,1,1,3.0,Yes,3.0,40.0,0.0,5.0
1253,male,20,second,blue,74.0,100.0,2,1,6.0,Yes,7.0,13.0,0.0,1.5
1228,female,20,second,blue,68.0,100.0,0,1,8.0,Yes,5.0,50.0,6.0,14.0
1309,female,20,third,hazel,64.0,90.0,2,0,1.0,Yes,6.0,20.0,0.0,7.0
1050,female,18,first,blue,60.0,90.0,0,1,15.0,Yes,6.0,75.0,0.0,14.0
1849,female,23,other,brown,69.0,120.0,1,0,30.0,Yes,4.0,55.0,1.0,15.0
384,male,21,fourth,brown,72.0,400.0,1,1,5.0,No,0.0,65.0,2.0,12.0
87,female,18,first,green,67.0,215.0,0,2,30.0,No,0.0,20.0,1.0,3.0
608,female,20,third,blue,64.0,180.0,1,0,10.0,Yes,7.0,20.0,1.0,5.0
443,male,21,fourth,brown,70.0,96.0,1,1,8.0,Yes,2.0,50.0,2.0,6.0
689,male,25,third,hazel,71.0,40.0,0,1,3.0,No,0.0,300.0,0.0,15.0
222,male,20,second,green,74.0,396.0,1,0,10.0,Yes,2.0,90.0,24.0,10.0
1088,female,23,other,blue,64.0,138.0,0,2,5.0,No,0.0,200.0,0.0,12.0
155,female,20,third,green,68.0,0.0,1,1,10.0,Yes,6.0,100.0,0.0,10.0
559,female,26,third,hazel,68.0,150.0,0,1,12.0,Yes,4.0,250.0,2.0,12.0
937,female,19,first,blue,65.0,770.0,2,1,20.0,No,0.0,40.0,0.0,5.0
1770,female,19,second,hazel,64.0,45.0,1,1,14.0,Yes,2.0,3.0,0.0,10.0
63,male,18,first,blue,71.0,180.0,2,0,3.0,Yes,5.0,30.0,2.0,2.0
768,male,18,first,blue,71.0,30.0,3,0,30.0,Yes,8.0,7.0,0.0,5.0
880,female,20,second,brown,61.0,3500.0,1,0,5.0,No,0.0,250.0,2.0,2.0
1940,female,19,second,hazel,68.0,150.0,0,3,15.0,Yes,4.0,80.0,1.0,3.0
1226,male,20,third,green,68.0,292.0,0,1,3.0,Yes,5.0,100.0,1.0,10.0
391,female,20,third,brown,63.0,69.0,1,4,5.0,Yes,5.0,100.0,3.0,5.0
941,male,19,second,brown,72.0,320.0,3,1,15.0,Yes,5.0,0.0,0.0,2.0
1151,female,25,third,blue,71.0,260.0,1,2,15.0,Yes,6.0,5.0,3.0,15.0
1171,female,22,fourth,hazel,62.0,110.0,0,3,10.0,No,0.0,30.0,0.0,10.0
264,female,21,third,blue,69.0,85.0,1,0,4.0,Yes,8.0,60.0,0.0,3.0
1595,male,19,second,blue,65.0,117.0,1,1,6.0,Yes,4.0,100.0,1.0,12.0
1960,female,22,fourth,hazel,64.0,237.0,2,1,25.0,Yes,6.0,25.0,0.0,2.0
362,female,19,second,brown,68.0,87.0,1,2,5.0,No,0.0,35.0,0.0,10.0
1231,female,19,second,brown,63.0,0.0,1,0,21.0,No,0.0,70.0,0.0,1.0
1750,female,20,second,blue,63.0,140.0,1,0,15.0,No,0.0,10.0,2.0,1.0
835,male,19,first,blue,77.0,350.0,2,1,2.0,Yes,8.0,30.0,1.0,2.0
146,female,20,second,green,75.0,440.0,0,1,3.0,Yes,10.0,40.0,0.0,3.0
1377,male,21,third,brown,74.0,35.0,1,2,8.0,No,0.0,30.0,2.0,20.0
1344,female,20,third,blue,67.0,160.0,0,1,25.0,Yes,5.0,45.0,1.0,1.0
889,male,20,second,blue,70.0,100.0,0,2,5.0,No,0.0,30.0,15.0,2.0
942,male,22,fourth,blue,69.0,75.0,1,2,3.0,Yes,5.0,3.0,0.0,5.0
505,male,21,fourth,blue,70.0,185.0,1,0,5.0,Yes,3.0,17.0,1.0,4.0
1113,male,18,first,hazel,69.0,15.0,1,0,7.0,Yes,3.0,30.0,1.0,2.0
1593,male,23,other,brown,69.0,1600.0,1,1,3.0,Yes,5.0,50.0,0.0,15.0
1083,male,18,first,blue,69.0,180.0,1,1,3.0,Yes,5.0,50.0,5.0,15.0
93,female,20,second,blue,62.0,60.0,1,0,18.0,Yes,5.0,350.0,0.0,18.0
347,female,21,third,green,66.0,95.0,2,1,4.0,Yes,3.0,50.0,0.0,3.0
253,male,20,third,blue,73.0,180.0,0,1,6.0,No,0.0,120.0,10.0,30.0
763,male,20,second,brown,73.0,100.0,3,0,20.0,Yes,8.0,10.0,20.0,7.0
328,female,22,other,blue,70.0,70.0,3,1,5.0,No,0.0,30.0,5.0,25.0
387,male,24,first,brown,72.0,7000.0,0,1,40.0,No,0.0,100.0,20.0,15.0
272,female,19,second,hazel,64.0,125.0,2,0,12.0,No,0.0,4.0,0.0,3.0
1241,male,19,second,green,67.0,400.0,0,1,2.0,Yes,3.0,340.0,20.0,10.0
184,female,20,second,brown,72.0,500.0,1,1,8.0,No,0.0,200.0,4.0,7.0
1134,male,19,first,brown,70.0,102.5,3,3,4.0,No,0.0,20.0,7.0,3.0
318,female,22,fourth,hazel,65.0,5.0,0,3,15.0,Yes,4.5,40.0,0.0,15.0
122,female,20,third,blue,70.0,150.0,1,1,14.0,Yes,6.0,25.0,1.0,3.0
947,male,21,third,blue,73.0,230.0,0,1,3.0,Yes,5.0,200.0,1.0,8.0
1614,female,22,other,blue,65.0,180.0,2,1,1.0,No,0.0,20.0,0.0,6.0
1774,male,23,third,hazel,71.0,250.0,0,1,5.0,Yes,10.0,20.0,10.0,5.0
193,male,19,first,blue,67.0,14.0,1,2,20.0,No,0.0,15.0,1.0,0.0
1902,female,20,second,brown,62.0,15.0,4,0,12.0,No,0.0,100.0,0.0,15.0
845,female,21,third,brown,68.0,20.0,1,0,5.0,No,0.0,30.0,0.0,4.0
1987,female,19,first,blue,66.0,50.0,1,0,30.0,No,0.0,20.0,0.0,7.0
997,male,23,fourth,hazel,70.0,120.0,0,3,10.0,Yes,6.0,50.0,0.0,10.0
998,male,21,third,blue,72.0,100.0,2,1,25.0,No,0.0,500.0,1.0,5.0
1600,female,19,second,blue,68.0,90.0,0,2,10.0,Yes,7.0,12.0,0.0,2.0
270,female,21,third,brown,67.0,120.0,1,1,2.0,Yes,8.0,50.0,1.0,3.0
1572,male,19,second,brown,67.0,42.0,2,1,10.0,No,0.0,4.0,10.0,10.0
1526,female,21,fourth,brown,64.0,93.0,1,0,15.0,Yes,0.0,150.0,0.0,4.0
1841,female,21,third,blue,68.0,150.0,1,1,25.0,Yes,6.0,60.0,20.0,10.0
735,female,21,fourth,blue,63.0,215.0,3,0,4.0,Yes,4.0,40.0,2.0,3.0
1820,male,19,second,green,74.0,130.0,0,1,3.0,Yes,6.0,35.0,4.0,4.0
1644,female,19,second,blue,63.0,400.0,1,1,15.0,Yes,20.0,150.0,0.0,4.0
113,male,21,third,brown,72.0,0.0,0,1,2.0,Yes,9.0,100.0,14.0,7.0
488,male,27,fourth,blue,69.0,150.0,0,3,15.0,No,0.0,30.0,5.0,10.0
295,male,24,fourth,blue,69.0,85.0,2,1,2.0,Yes,0.0,100.0,8.0,2.0
374,female,20,third,hazel,67.0,90.0,0,1,10.0,Yes,5.0,35.0,1.0,8.0
642,female,21,fourth,green,66.0,120.0,1,1,15.0,Yes,8.0,100.0,4.0,8.0
4,female,19,second,blue,62.0,60.0,0,1,5.0,Yes,4.0,30.0,2.0,5.0
1903,male,21,third,blue,75.0,230.0,0,3,7.0,Yes,6.0,200.0,1.0,10.0
291,female,19,second,blue,64.0,90.0,1,0,8.0,No,0.0,150.0,2.0,15.0
841,male,20,third,brown,70.0,0.0,0,1,10.0,No,0.0,25.0,20.0,4.0
885,female,21,fourth,brown,70.0,25.0,0,0,10.0,Yes,10.0,100.0,0.0,8.0
909,female,23,third,brown,60.0,6750.0,0,1,35.0,No,0.0,3.0,0.0,0.0
1698,female,30,other,other,69.0,30.0,1,0,15.0,Yes,2.5,100.0,5.0,0.0
57,female,21,fourth,blue,66.0,10.0,2,1,3.0,Yes,3.0,20.0,5.0,10.0
1500,female,21,fourth,brown,65.0,22.0,1,2,10.0,Yes,3.0,100.0,0.0,10.0
1259,female,21,third,blue,63.0,185.0,2,5,20.0,Yes,3.0,20.0,0.0,5.0
1805,male,25,third,brown,68.0,85.0,1,1,20.0,Yes,25.0,0.0,0.0,10.0
2060,female,20,second,blue,69.0,360.0,1,1,20.0,Yes,0.0,25.0,0.0,5.0
2013,female,18,first,hazel,70.0,700.0,0,0,27.5,No,0.0,150.0,3.0,7.5
1604,male,20,second,hazel,67.0,30.0,0,0,10.0,No,0.0,40.0,3.0,2.0
338,female,18,first,green,69.0,0.0,1,0,10.0,Yes,3.0,20.0,0.0,5.0
1373,male,20,second,brown,67.0,100.0,1,2,9.0,No,0.0,50.0,2.0,6.0
832,male,21,third,blue,74.0,200.0,1,0,2.0,Yes,5.0,93.0,1.0,3.0
636,male,22,fourth,blue,74.0,805.84,2,0,7.0,No,0.0,30.0,0.0,0.0
1496,female,20,third,blue,69.0,0.0,0,1,7.0,Yes,7.0,100.0,0.0,1.0
1875,male,19,second,blue,73.0,257.0,1,2,60.0,No,0.0,250.0,15.0,1.0
1980,female,19,second,blue,61.0,80.0,1,0,4.0,No,0.0,30.0,1.0,10.0
22,female,19,first,hazel,65.0,230.0,1,0,12.5,Yes,9.0,30.0,0.0,4.5
1665,female,20,third,brown,70.0,441.0,0,4,14.0,No,0.0,50.0,0.0,21.0
1478,female,19,second,green,65.0,222.0,0,1,4.0,Yes,4.0,20.0,0.0,6.0
1403,female,19,second,blue,77.0,75.0,0,1,15.0,Yes,3.0,200.0,0.0,7.0
2022,male,21,fourth,brown,75.0,220.0,3,0,3.0,Yes,17.0,75.0,3.0,15.0
561,male,20,third,blue,71.0,120.0,0,0,5.0,No,0.0,125.0,2.0,20.0
996,male,26,other,green,72.0,90.0,1,3,15.0,Yes,5.0,100.0,2.0,5.0
1887,female,22,fourth,green,63.0,180.0,1,0,10.0,Yes,3.0,100.0,0.0,15.0
899,female,33,fourth,brown,60.0,45.0,1,0,12.0,No,0.0,5.0,1.0,12.0
1237,female,20,third,blue,65.0,25.0,0,2,15.0,No,0.0,30.0,1.0,10.0
408,female,19,second,brown,62.0,160.0,1,0,2.0,Yes,4.0,35.0,2.0,5.0
9,male,21,third,blue,68.0,90.0,1,1,5.0,Yes,3.0,34.0,0.5,5.0
1061,female,20,third,hazel,67.0,333.0,1,1,12.0,Yes,3.0,126.0,0.0,5.0
638,male,18,first,blue,73.0,40.0,1,0,8.0,No,0.0,200.0,12.0,8.0
2034,female,20,third,brown,70.0,0.0,0,2,10.0,Yes,8.0,25.0,0.0,3.0
1204,male,21,fourth,hazel,69.0,160.0,1,1,5.0,Yes,0.0,100.0,20.0,20.0
154,male,20,third,blue,66.0,200.0,1,1,3.0,No,0.0,20.0,0.0,2.0
541,female,19,second,blue,69.0,40.0,0,2,10.0,Yes,5.0,50.0,1.0,4.5
1923,female,22,fourth,hazel,69.0,120.0,0,4,3.0,Yes,6.0,20.0,0.0,5.0
17,male,21,third,brown,70.0,124.0,1,2,4.0,Yes,6.0,5.0,1.0,5.0
1906,female,20,second,green,67.0,110.0,2,0,25.0,Yes,10.0,100.0,3.0,20.0
200,female,19,second,green,67.0,350.0,1,1,6.0,No,0.0,50.0,1.0,6.0
1729,male,20,third,blue,76.0,185.0,1,0,5.0,Yes,4.5,30.0,7.0,5.5
325,male,19,second,hazel,72.0,45.0,0,0,70.0,Yes,0.0,30.0,0.0,2.0
472,male,24,fourth,blue,68.0,453.0,2,1,7.0,Yes,6.0,300.0,8.0,4.0
321,male,20,second,hazel,74.0,100.0,1,1,8.0,Yes,8.0,148.0,2.0,10.0
186,male,24,second,brown,73.0,57.0,1,1,5.5,Yes,12.0,300.0,1.0,3.0
2021,male,19,second,brown,74.0,200.0,2,1,5.0,Yes,1.0,10.0,3.0,2.0
399,female,19,second,brown,61.0,2300.0,1,1,5.0,No,0.0,35.0,0.0,7.0
1052,female,20,third,green,62.0,250.0,1,1,4.0,Yes,6.0,40.0,0.0,7.0
1179,female,18,first,green,63.0,60.0,1,0,15.0,Yes,4.0,3.0,0.0,0.0
1831,male,19,second,blue,78.0,120.0,1,1,35.0,Yes,5.0,50.0,4.0,4.0
369,female,21,third,hazel,64.0,64.0,1,1,3.0,No,0.0,50.0,1.0,5.0
1381,male,24,second,brown,74.0,167.0,0,1,28.0,No,0.0,50.0,3.0,25.0
1653,female,19,second,blue,62.0,250.0,1,0,15.0,Yes,8.0,100.0,0.0,15.0
1567,male,24,other,blue,72.0,30.0,2,1,24.0,Yes,4.0,30.0,5.0,5.0
217,female,19,second,blue,69.0,140.0,2,0,6.0,No,0.0,80.0,0.0,15.0
1790,female,19,second,brown,60.0,200.0,2,0,7.0,Yes,5.0,15.0,0.0,5.0
785,female,20,second,hazel,64.0,150.0,0,1,30.0,Yes,5.0,35.0,0.0,1.0
799,female,18,first,hazel,64.0,140.0,2,0,14.0,Yes,0.5,25.0,0.0,0.5
593,male,21,fourth,blue,66.0,10.0,1,2,25.0,Yes,5.0,60.0,10.0,10.0
1733,female,19,second,brown,62.0,20.0,1,0,10.0,Yes,7.0,50.0,0.0,6.0
131,female,21,fourth,green,66.0,180.0,1,0,14.0,Yes,5.0,100.0,2.0,30.0
1343,male,23,third,hazel,77.0,330.0,1,0,20.0,Yes,6.0,300.0,0.0,10.0
354,male,20,second,green,71.0,120.0,1,1,10.0,Yes,12.0,67.0,15.0,15.0
172,male,19,first,blue,73.0,110.0,2,1,11.0,No,0.0,400.0,1.0,3.0
1966,female,18,first,blue,63.0,366.0,1,0,40.0,No,0.0,100.0,1.0,2.0
105,male,19,second,hazel,78.0,300.0,0,1,24.0,Yes,16.0,100.0,2.0,18.0
1063,female,19,first,blue,63.0,500.0,0,0,20.0,No,0.0,70.0,2.0,20.0
1167,female,20,second,hazel,63.0,400.0,1,1,20.0,No,0.0,200.0,3.0,2.0
1173,female,19,first,hazel,65.0,800.0,1,1,15.0,Yes,6.0,105.0,0.0,3.0
1765,male,21,third,hazel,70.0,0.0,1,1,10.0,No,0.0,200.0,0.0,8.0
2061,female,20,second,brown,63.0,120.0,1,1,10.0,Yes,4.5,2.0,5.0,5.0
1947,male,22,third,hazel,73.0,70.0,2,1,4.0,No,0.0,150.0,2.0,7.0
1759,male,22,fourth,brown,76.0,500.0,1,0,15.0,No,0.0,25.0,1.0,10.0
1210,male,20,second,blue,75.0,321.0,2,1,9.0,Yes,4.0,200.0,1.0,4.0
1,male,20,third,brown,70.0,120.0,3,0,24.0,No,0.0,50.0,0.0,3.0
438,male,24,third,hazel,71.0,120.0,4,0,12.0,Yes,10.0,200.0,3.0,12.0
1836,male,20,second,brown,67.0,35.0,0,1,20.0,Yes,4.0,30.0,15.0,10.0
748,male,21,third,hazel,72.0,82.0,3,1,8.0,Yes,4.0,25.0,1.0,5.0
586,male,22,fourth,hazel,76.0,45.0,1,1,4.0,Yes,5.0,150.0,2.0,2.0
356,female,21,third,hazel,68.0,130.0,5,5,20.0,Yes,4.5,50.0,0.0,17.5
350,male,19,second,blue,69.0,710.0,0,1,10.0,No,0.0,200.0,2.0,2.0
406,female,21,fourth,green,64.0,250.0,1,1,8.0,Yes,4.0,70.0,0.0,4.0
836,male,21,third,blue,70.0,150.0,2,1,15.0,No,0.0,120.0,5.0,3.0
875,male,20,second,hazel,72.0,50.0,2,0,1.0,No,0.0,100.0,6.0,10.0
1761,female,21,third,blue,70.0,106.0,2,0,35.0,Yes,4.0,200.0,2.0,10.0
1251,male,18,first,hazel,70.0,70.0,0,1,25.0,Yes,5.0,5.0,2.0,5.0
227,female,19,second,brown,66.0,52.0,1,1,4.0,Yes,8.0,20.0,2.0,8.0
323,female,22,fourth,blue,67.0,30.0,1,2,10.0,Yes,6.0,140.0,0.0,20.0
1997,female,18,first,blue,64.0,45.0,1,1,14.0,Yes,14.0,50.0,0.0,35.0
1952,male,27,fourth,brown,68.0,90.0,1,0,5.0,Yes,4.5,600.0,0.0,2.0
727,male,20,second,hazel,74.0,185.0,3,1,5.0,No,0.0,5.0,0.5,3.0
1819,female,22,fourth,blue,64.0,300.0,2,1,5.0,Yes,7.0,100.0,4.0,2.0
171,male,21,third,brown,69.0,130.0,1,2,1.0,No,0.0,60.0,5.0,20.0
549,female,19,second,green,64.0,45.0,1,1,4.0,No,0.0,200.0,0.0,6.0
1781,female,18,first,brown,68.0,55.0,1,1,3.0,No,0.0,6.0,0.5,6.0
308,male,19,second,brown,70.0,230.0,0,2,10.0,No,0.0,60.0,6.0,2.0
5,male,19,second,green,67.0,0.0,0,1,5.0,Yes,8.0,100.0,0.0,10.0
1916,male,21,fourth,green,73.0,120.0,1,0,6.0,Yes,6.0,100.0,8.0,35.0
926,female,19,second,brown,67.0,1800.0,1,0,8.0,Yes,9.0,101.0,0.0,3.0
1275,male,20,second,hazel,68.0,120.0,2,0,50.0,No,0.0,50.0,0.0,5.0
1993,female,22,fourth,brown,65.0,15.0,2,0,14.0,No,0.0,20.0,0.0,4.0
934,male,21,third,blue,68.0,250.0,0,1,7.0,Yes,7.0,100.0,14.0,14.0
1469,male,19,second,blue,72.0,130.0,2,1,30.0,No,0.0,35.0,1.0,5.0
1696,female,20,second,blue,66.0,200.0,4,2,35.0,Yes,12.0,53.0,1.0,6.0
1971,male,21,fourth,green,76.0,88.0,0,1,28.0,Yes,6.5,100.0,2.0,2.0
745,female,19,first,green,64.0,46.0,1,2,30.0,No,0.0,50.0,2.0,0.0
1901,male,21,third,other,76.0,90.0,1,2,8.0,No,0.0,50.0,12.0,8.0
504,female,19,second,hazel,65.0,72.0,1,1,3.0,Yes,4.0,81.0,3.0,15.0
1016,male,20,second,blue,70.0,100.0,1,1,4.0,Yes,6.0,105.0,2.0,10.0
1064,female,19,second,hazel,67.0,25.0,0,1,30.0,Yes,4.0,20.0,0.5,14.0
1458,female,19,second,brown,64.0,220.0,2,1,4.0,No,0.0,30.0,1.0,3.0
1097,female,19,second,green,65.0,126.0,1,1,4.0,No,0.0,80.0,0.0,2.0
44,male,19,first,brown,67.0,75.0,2,0,10.0,No,0.0,0.0,12.0,12.0
482,female,22,other,brown,71.0,0.0,2,0,2.0,Yes,5.0,50.0,0.0,5.0
1437,female,23,other,brown,66.0,352.0,1,0,30.0,Yes,10.0,37.0,10.0,6.0
1370,male,20,second,blue,68.0,220.0,3,1,20.0,Yes,10.0,100.0,10.0,30.0
1334,male,19,second,brown,70.0,55.0,1,1,35.0,Yes,4.0,0.0,1.0,1.0
859,male,20,second,hazel,72.0,115.0,0,2,2.0,Yes,30.0,25.0,0.25,0.5
1382,female,19,second,brown,64.0,125.0,1,1,15.0,Yes,4.0,20.0,0.0,5.0
1748,female,19,second,blue,68.0,90.0,1,1,10.0,Yes,3.0,200.0,2.0,15.0
513,male,22,first,brown,72.0,1000.0,0,1,10.0,No,0.0,50.0,20.0,10.0
945,female,20,third,blue,65.0,220.0,1,0,8.0,Yes,5.0,5.0,0.0,9.0
1745,male,22,fourth,blue,71.0,600.0,3,2,6.0,Yes,2.0,25.0,1.0,4.0
1062,male,21,third,brown,68.0,600.0,1,0,5.0,Yes,0.0,200.0,5.0,20.0
1786,female,18,first,brown,67.0,180.0,2,0,20.0,Yes,2.5,15.0,0.0,5.0
915,male,19,first,hazel,75.0,0.0,0,1,1.0,Yes,5.0,100.0,5.0,5.0
999,male,21,third,hazel,72.0,40.0,0,1,6.0,Yes,10.0,25.0,10.0,14.0
1556,male,21,third,green,78.0,200.0,1,1,15.0,No,0.0,10.0,2.0,10.0
522,female,20,third,green,72.0,320.0,2,0,7.0,No,0.0,60.0,0.0,14.0
1195,female,20,second,brown,63.0,120.0,1,0,5.0,Yes,4.0,60.0,0.0,3.0
660,female,20,third,brown,63.0,750.0,1,0,21.0,Yes,6.0,64.0,0.0,3.0
2048,male,31,third,brown,66.0,75.0,4,1,15.0,Yes,6.0,400.0,10.0,12.0
1603,female,20,second,hazel,66.0,190.0,2,1,6.0,Yes,4.0,50.0,0.0,11.5
1034,male,21,third,brown,75.0,215.0,2,1,12.0,No,0.0,20.0,2.0,12.0
1181,male,22,fourth,blue,72.0,0.0,0,0,25.0,Yes,4.0,110.0,10.0,10.0
1505,male,22,other,brown,62.0,352.0,1,2,10.0,No,0.0,50.0,10.0,9.0
1078,male,24,other,brown,70.0,150.0,0,1,10.0,No,0.0,15.0,0.0,10.0
483,female,19,second,hazel,68.0,180.0,1,1,7.0,No,0.0,30.0,1.0,4.0
1527,male,20,third,hazel,74.0,350.0,1,1,100.0,Yes,4.5,100.0,0.0,20.0
1518,male,18,first,blue,68.0,150.0,2,1,7.0,Yes,2.0,200.0,1.0,3.0
469,female,20,third,brown,69.0,110.0,0,3,15.0,Yes,5.0,50.0,2.0,8.0
906,female,20,third,brown,67.0,1050.0,2,0,20.0,Yes,7.0,30.0,0.0,1.0
658,female,21,fourth,brown,66.0,8.0,1,1,1.0,Yes,0.0,30.0,0.0,2.0
1741,male,20,third,blue,72.0,220.0,1,0,8.0,Yes,20.0,103.0,2.0,14.0
1806,male,20,second,brown,75.0,330.0,2,0,72.0,No,0.0,0.0,36.0,15.0
32,female,19,second,brown,67.0,180.0,0,2,40.0,Yes,5.0,70.0,1.0,7.0
1754,female,19,second,brown,68.0,110.0,0,0,35.0,No,0.0,100.0,2.0,25.0
417,female,21,fourth,blue,64.0,75.0,1,0,15.0,No,0.0,30.0,2.0,20.0
898,female,21,third,blue,64.0,80.0,3,0,5.0,Yes,4.0,100.0,0.0,6.0
1339,male,23,other,hazel,78.0,0.0,1,1,10.0,Yes,4.0,35.0,0.0,3.0
653,female,19,second,brown,66.0,350.0,0,1,20.0,No,0.0,45.0,1.0,10.0
1266,female,19,second,blue,63.0,156.0,3,0,15.0,Yes,2.0,25.0,0.5,12.0
258,female,20,third,brown,62.0,180.0,1,4,10.0,Yes,5.0,40.0,1.0,6.0
1443,male,19,second,brown,70.0,200.0,2,7,14.0,Yes,4.0,40.0,10.0,10.0
720,male,22,fourth,blue,70.0,100.0,0,1,15.0,Yes,7.5,300.0,0.0,10.0
1642,male,20,third,blue,74.0,150.0,0,0,7.0,Yes,3.0,20.0,0.0,1.0
18,male,20,third,blue,70.0,400.0,0,0,30.0,Yes,4.0,50.0,5.0,1.0
431,female,19,third,brown,67.0,42.0,0,3,4.0,Yes,6.0,20.0,1.0,6.0
591,male,24,third,brown,77.0,90.0,2,0,2.0,Yes,4.0,50.0,0.0,3.0
176,male,21,third,blue,68.0,100.0,0,2,20.0,No,0.0,700.0,5.0,10.0
2019,female,21,third,hazel,60.0,60.0,2,2,3.0,No,0.0,20.0,0.0,3.0
614,male,20,third,blue,70.0,65.0,2,1,6.0,No,0.0,25.0,0.0,2.0
1626,female,20,third,green,63.0,250.0,0,2,5.0,Yes,5.0,15.0,0.0,5.0
1362,male,19,first,blue,65.0,458.0,0,2,50.0,Yes,4.0,100.0,2.0,20.0
68,male,23,other,brown,80.0,1500.0,1,0,10.0,No,0.0,20.0,10.0,1.0
1778,female,21,third,blue,63.0,200.0,0,0,12.0,Yes,5.0,250.0,3.0,6.0
1413,female,20,third,brown,61.0,200.0,1,0,15.0,No,0.0,10.0,0.0,6.0
1360,female,19,first,blue,66.0,35.0,0,1,20.0,No,0.0,66.0,2.0,0.0
1539,male,19,second,blue,71.0,190.0,1,0,20.0,Yes,15.0,125.0,2.0,5.0
555,female,20,third,blue,65.0,43.0,0,2,4.0,Yes,3.0,70.0,0.0,10.0
137,female,22,third,blue,70.0,240.0,3,2,1.0,Yes,1.0,12.0,0.5,0.5
1588,male,19,second,brown,73.0,300.0,0,1,28.0,Yes,0.0,150.0,0.0,10.0
455,male,21,fourth,brown,58.0,1000.0,3,0,10.0,Yes,10.0,80.0,10.0,25.0
1613,male,22,fourth,blue,71.0,1300.0,1,1,4.0,Yes,7.0,50.0,0.0,4.0
2063,female,21,fourth,hazel,63.0,180.0,2,1,15.0,No,0.0,3.0,1.0,1.0
1784,male,19,first,blue,72.0,8.0,0,1,10.0,Yes,2.0,25.0,10.0,10.0
445,male,21,fourth,blue,69.0,220.0,0,1,4.0,No,0.0,10.0,10.0,2.0
378,female,18,first,blue,63.0,102.0,1,1,5.0,No,0.0,50.0,0.0,3.0
164,female,19,first,green,63.0,950.0,1,0,8.0,No,0.0,50.0,2.0,5.0
1779,female,19,second,brown,64.0,100.0,1,1,8.0,No,0.0,5.0,4.0,8.0
1127,male,22,fourth,brown,72.0,160.0,0,2,10.0,Yes,5.0,10.0,4.0,15.0
1417,male,20,second,green,65.0,119.0,0,1,21.0,Yes,4.0,4.0,1.0,1.0
